timestamp,pm25
2024-07-12T13:57:25Z,11.0
2024-07-12T13:58:25Z,8.0
2024-07-12T13:59:25Z,9.0
2024-07-12T14:00:25Z,10.0
2024-07-12T14:01:25Z,9.0
2024-07-12T14:02:25Z,9.0
2024-07-12T14:03:25Z,10.0
2024-07-12T14:04:25Z,9.0
2024-07-12T14:05:25Z,10.0
2024-07-12T14:06:25Z,10.0
2024-07-12T14:07:25Z,11.0
2024-07-12T14:08:25Z,9.0
2024-07-12T14:09:25Z,9.0
2024-07-12T14:10:25Z,8.0
2024-07-12T14:11:25Z,9.0
2024-07-12T14:12:26Z,10.0
2024-07-12T14:13:26Z,10.0
2024-07-12T14:14:26Z,10.0
2024-07-12T14:15:26Z,10.0
2024-07-12T14:16:26Z,9.0
2024-07-12T14:17:26Z,9.0
2024-07-12T14:18:26Z,9.0
2024-07-12T14:19:26Z,9.0
2024-07-12T14:20:26Z,10.0
2024-07-12T14:21:26Z,10.0
2024-07-12T14:22:27Z,10.0
2024-07-12T14:23:27Z,10.0
2024-07-12T14:24:27Z,9.0
2024-07-12T14:25:27Z,9.0
2024-07-12T14:26:27Z,10.0
2024-07-12T14:27:27Z,10.0
2024-07-12T14:28:27Z,9.0
2024-07-12T14:29:27Z,10.0
2024-07-12T14:30:27Z,11.0
2024-07-12T14:31:27Z,10.0
2024-07-12T14:32:28Z,10.0
2024-07-12T14:33:28Z,11.0
2024-07-12T14:34:28Z,12.0
2024-07-12T14:35:28Z,12.0
2024-07-12T14:36:28Z,9.0
2024-07-12T14:37:30Z,9.0
2024-07-12T14:38:30Z,8.0
2024-07-12T14:39:30Z,9.0
2024-07-12T14:40:30Z,9.0
2024-07-12T14:41:30Z,10.0
2024-07-12T14:42:30Z,10.0
2024-07-12T14:43:30Z,10.0
2024-07-12T14:44:30Z,10.0
2024-07-12T14:45:30Z,10.0
2024-07-12T14:46:30Z,9.0
2024-07-12T14:47:30Z,10.0
2024-07-12T14:48:30Z,9.0
2024-07-12T14:49:30Z,9.0
2024-07-12T14:50:30Z,9.0
2024-07-12T14:51:31Z,11.0
2024-07-12T14:52:31Z,10.0
2024-07-12T14:53:31Z,10.0
2024-07-12T14:54:31Z,9.0
2024-07-12T14:55:31Z,10.0
2024-07-12T14:56:31Z,10.0
2024-07-12T14:57:31Z,9.0
2024-07-12T14:58:31Z,9.0
2024-07-12T14:59:31Z,9.0
2024-07-12T15:00:31Z,9.0
2024-07-12T15:01:31Z,8.0
2024-07-12T15:02:31Z,9.0
2024-07-12T15:03:32Z,9.0
2024-07-12T15:04:32Z,10.0
2024-07-12T15:05:32Z,10.0
2024-07-12T15:06:32Z,10.0
2024-07-12T15:07:32Z,8.0
2024-07-12T15:08:32Z,11.0
2024-07-12T15:09:32Z,9.0
2024-07-12T15:10:32Z,9.0
2024-07-12T15:11:32Z,10.0
2024-07-12T15:12:32Z,9.0
2024-07-12T15:13:32Z,11.0
2024-07-12T15:14:33Z,10.0
2024-07-12T15:15:33Z,8.0
2024-07-12T15:16:33Z,9.0
2024-07-12T15:17:33Z,9.0
2024-07-12T15:18:33Z,9.0
2024-07-12T15:19:33Z,9.0
2024-07-12T15:20:33Z,9.0
2024-07-12T15:21:33Z,10.0
2024-07-12T15:22:33Z,10.0
2024-07-12T15:23:33Z,11.0
2024-07-12T15:24:34Z,10.0
2024-07-12T15:25:34Z,9.0
2024-07-12T15:26:34Z,11.0
2024-07-12T15:27:34Z,11.0
2024-07-12T15:28:34Z,11.0
2024-07-12T15:29:34Z,10.0
2024-07-12T15:30:34Z,10.0
2024-07-12T15:31:34Z,10.0
2024-07-12T15:32:34Z,10.0
2024-07-12T15:33:34Z,10.0
2024-07-12T15:34:35Z,10.0
2024-07-12T15:35:35Z,12.0
2024-07-12T15:36:35Z,11.0
2024-07-12T15:37:35Z,11.0
2024-07-12T15:38:35Z,12.0
2024-07-12T15:39:35Z,11.0
2024-07-12T15:40:35Z,12.0
2024-07-12T15:41:35Z,10.0
2024-07-12T15:42:36Z,11.0
2024-07-12T15:43:36Z,10.0
2024-07-12T15:44:36Z,10.0
2024-07-12T15:45:36Z,10.0
2024-07-12T15:46:36Z,15.0
2024-07-12T15:47:36Z,22.0
2024-07-12T15:48:36Z,18.0
2024-07-12T15:49:36Z,20.0
2024-07-12T15:50:36Z,20.0
2024-07-12T15:51:37Z,19.0
2024-07-12T15:52:37Z,19.0
2024-07-12T15:53:37Z,16.0
2024-07-12T15:54:37Z,17.0
2024-07-12T15:55:37Z,16.0
2024-07-12T15:56:37Z,16.0
2024-07-12T15:57:37Z,17.0
2024-07-12T15:58:37Z,17.0
2024-07-12T15:59:38Z,16.0
2024-07-12T16:00:38Z,14.0
2024-07-12T16:01:38Z,15.0
2024-07-12T16:02:38Z,17.0
2024-07-12T16:03:38Z,17.0
2024-07-12T16:04:38Z,15.0
2024-07-12T16:05:38Z,15.0
2024-07-12T16:06:38Z,14.0
2024-07-12T16:07:38Z,17.0
2024-07-12T16:08:38Z,16.0
2024-07-12T16:09:38Z,14.0
2024-07-12T16:10:38Z,14.0
2024-07-12T16:11:38Z,14.0
2024-07-12T16:12:38Z,13.0
2024-07-12T16:13:38Z,13.0
2024-07-12T16:14:38Z,13.0
2024-07-12T16:15:38Z,12.0
2024-07-12T16:16:38Z,14.0
2024-07-12T16:17:38Z,13.0
2024-07-12T16:18:38Z,14.0
2024-07-12T16:19:39Z,13.0
2024-07-12T16:20:39Z,14.0
2024-07-12T16:21:39Z,14.0
2024-07-12T16:22:39Z,14.0
2024-07-12T16:23:39Z,14.0
2024-07-12T16:24:39Z,14.0
2024-07-12T16:25:39Z,14.0
2024-07-12T16:26:39Z,14.0
2024-07-12T16:27:39Z,13.0
2024-07-12T16:28:39Z,12.0
2024-07-12T16:29:39Z,12.0
2024-07-12T16:30:39Z,13.0
2024-07-12T16:31:39Z,13.0
2024-07-12T16:32:39Z,11.0
2024-07-12T16:33:39Z,12.0
2024-07-12T16:34:40Z,13.0
2024-07-12T16:35:40Z,12.0
2024-07-12T16:36:40Z,13.0
2024-07-12T16:37:40Z,13.0
2024-07-12T16:38:40Z,12.0
2024-07-12T16:39:40Z,12.0
2024-07-12T16:40:40Z,12.0
2024-07-12T16:41:40Z,12.0
2024-07-12T16:42:40Z,14.0
2024-07-12T16:43:40Z,14.0
2024-07-12T16:44:40Z,11.0
2024-07-12T16:45:40Z,12.0
2024-07-12T16:46:40Z,13.0
2024-07-12T16:47:40Z,13.0
2024-07-12T16:48:40Z,11.0
2024-07-12T16:49:41Z,12.0
2024-07-12T16:50:41Z,12.0
2024-07-12T16:51:41Z,12.0
2024-07-12T16:52:41Z,12.0
2024-07-12T16:53:41Z,12.0
2024-07-12T16:54:41Z,12.0
2024-07-12T16:55:41Z,11.0
2024-07-12T16:56:41Z,12.0
2024-07-12T16:57:41Z,13.0
2024-07-12T16:58:41Z,13.0
2024-07-12T16:59:41Z,12.0
2024-07-12T17:00:41Z,12.0
2024-07-12T17:01:41Z,12.0
2024-07-12T17:02:41Z,12.0
